,Unnamed: 0,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
10,10,3Dplummer_50000000,2,64,32,3664.545,2024-10-30 07:48:47.459400,2024-10-30 09:51:08.961500,361534.4977296677,48586.09738627227,491625.0512449177,58886.46154802226,448261.533406501,50302.824746563936,421.3704798134741,134.157187657654,16.069242306486142,234530.88,117265.44,1.8189199116353798e-05,1.2463145624577203e-05,498564.3581530649,18.67756389193754,2.095951031106831,20.773514923044374,4.265928875253679,1.4614962554501205,5.7274251307038,26.500940053748174,nearestNeighbors,150
11,11,3Dplummer_50000000,2,32,88,7.563,2024-11-06 09:43:16.859900,2024-11-06 09:43:31.986800,2148.2592671268208,172.64008427847685,2416.7441284768206,193.89829072847684,2237.754220910154,182.3834289013935,3293.3797350993377,319.5483443708609,25.637748344370863,242.016,665.544,1.8189199116353798e-05,1.2463145624577203e-05,2420.1376498115474,0.09323975920458974,0.007599309537558063,0.1008390687421478,0.004402077213343481,0.008294771791563611,0.012696849004907092,0.1135359177470549,nearestNeighbors,150
12,12,3Dplummer_50000000,2,16,72,12.964,2024-11-06 09:50:08.079700,2024-11-06 09:50:34.009900,2644.293414272072,249.3542051657658,3104.5126054054053,285.79363243243245,2720.9966127942944,263.0189903907658,1655.9249420849433,239.47181467181463,22.045173745173745,207.424,933.408,1.8189199116353798e-05,1.2463145624577203e-05,2984.01560318506,0.11337485886642892,0.010959124599615242,0.12433398346604417,0.0037728764375105704,0.011633199831145358,0.015406076268655929,0.1397400597347001,nearestNeighbors,150
13,13,3Dplummer_50000000,2,96,88,5.24,2024-11-06 09:40:16.402100,2024-11-06 09:40:26.884700,1530.467776110033,137.89776726860842,1716.4866407766997,152.62644660194175,1716.4866407766997,144.6484119630529,10195.882135922331,327.57378640776705,29.12718446601942,503.04,461.12,1.8189199116353798e-05,1.2463145624577203e-05,1861.1350527397526,0.07152027669902915,0.0060270171651272035,0.07754729386415635,0.009149894723490615,0.00574700571040504,0.014896900433895655,0.09244419429805201,nearestNeighbors,150
14,14,3Dplummer_50000000,2,80,88,5.408,2024-11-06 09:40:59.397400,2024-11-06 09:41:10.214200,1547.5254087703706,135.4870145777778,1739.5082370370374,150.6879111111111,1707.511098992593,142.45409215555557,8037.552500000001,321.65462962962965,27.863888888888887,432.64,475.90400000000005,1.8189199116353798e-05,1.2463145624577203e-05,1849.9651911481485,0.07114629579135803,0.005935587173148149,0.07708188296450619,0.007869375105699307,0.0059312608553187905,0.013800635961018097,0.09088251892552429,nearestNeighbors,150
15,15,3Dplummer_50000000,2,48,88,5.93,2024-11-06 09:42:28.767000,2024-11-06 09:42:40.627900,1712.0576153418078,146.3415266581921,1922.5713305084744,163.0096694915254,1817.3144729251408,153.98109212346986,4824.917457627118,324.21101694915257,27.48898305084746,284.64,521.8399999999999,1.8189199116353798e-05,1.2463145624577203e-05,1971.2955650486106,0.07572143637188086,0.006415878838477911,0.08213731521035877,0.005177373636478945,0.006503767912729367,0.011681141549208312,0.09381845675956708,nearestNeighbors,150
16,16,3Dplummer_50000000,2,96,24,7098.28,2024-11-06 14:54:58.598700,2024-11-06 18:51:53.369400,767015.6913379506,100261.93450133609,1019003.093377284,120213.89823000274,1019003.093377284,102755.9299674194,429.1128931672383,143.55633947622297,16.935637679832684,681434.88,170358.72,1.8189199116353798e-05,1.2463145624577203e-05,1121759.0233447035,42.4584622240535,4.281497081975808,46.739959306029306,12.394754717148656,2.123205535776573,14.517960252925228,61.257919558954534,nearestNeighbors,150
17,17,3Dplummer_50000000,2,32,24,6300.32,2024-11-07 14:19:22.097900,2024-11-07 17:49:26.948500,592061.7983513519,83173.75332243327,815721.7932820186,100882.7977837666,666615.1299949074,85387.38388009994,328.608628042967,129.4730733172313,16.01232918070298,201610.24,151207.68,1.8189199116353798e-05,1.2463145624577203e-05,752002.5138750074,27.775630416454476,3.5578076616708305,31.333438078125305,3.667128799255877,1.88452333539447,5.551652134650347,36.88509021277565,nearestNeighbors,150
18,18,3Dplummer_50000000,2,80,24,6779.385,2024-11-06 20:50:49.957700,2024-11-07 00:36:49.331400,720736.7462030216,95136.49594417877,961403.4448362716,114192.10429192876,921292.3283973968,97518.4469876475,418.25542334839486,141.81278166622366,16.844021145270368,542350.8,162705.24,1.8189199116353798e-05,1.2463145624577203e-05,1018810.7753850443,38.38718034989154,4.063268624485312,42.45044897437685,9.864926692113777,2.027819100001784,11.89274579211556,54.34319476649241,nearestNeighbors,150
19,19,3Dplummer_50000000,10,96,192,4.581,2024-10-27 21:57:50.147100,2024-10-27 21:58:35.959300,1357.2430879142385,127.77248394933775,1519.8675953642385,140.64883509933776,1519.8675953642385,140.64883509933776,9567.054017660046,331.7763796909492,30.702649006622515,439.77600000000007,879.5520000000001,1.8189199116353798e-05,1.2463145624577203e-05,1660.5164304635762,0.06332781647350993,0.005860368129139073,0.06918818460264901,0.007999173230593608,0.01096198466038813,0.01896115789098174,0.08814934249363075,nearestNeighbors,150
