,input,rounds,cpus,memory,geomean,start,end,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Utilization,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),Total Energy per Round,CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh),Min CF,Min Runtime,Min Energy,Min Embodied
22,randomSeq_2G_int,10,80,80,5.178,2024-10-28 00:28:35.417500,2024-10-28 00:29:29.658100,1252.4186257817005,155.0246127417745,1436.2365038817006,169.5790214417745,1405.600190865034,161.08894970010783,6283.6008872458415,277.3728280961183,32.74990757855823,414.24,414.24,1.81891991163538e-05,1.2463145624577203e-05,1566.6891405651418,0.0,0.0,0.0,0.0075346938419583,0.0051627334435248,0.0126974272854832,0.0126974272854832,removeDuplicates,0,False,False,False,False
23,randomSeq_2G_int,10,48,16,73.038,2024-10-29 06:43:21.762000,2024-10-29 06:55:37.015800,8210.054976663583,1081.611647609819,10802.888151763584,1286.908075309819,9506.471564213583,1098.7196832514858,642.5209206046576,147.90777611330518,17.61970584229879,3505.824,1168.608,1.81891991163538e-05,1.2463145624577203e-05,10605.191247465067,0.0,0.0,0.0,0.0637681308028919,0.0145645316820459,0.0783326624849378,0.0783326624849378,removeDuplicates,0,False,False,False,False
24,randomSeq_2G_int,10,80,8,181.919,2024-10-29 22:55:29.650400,2024-10-29 23:25:55.259000,20206.997833428777,2708.4238423615475,26665.082917645446,3219.7647995448806,25588.73540360933,2729.7297155775195,581.1276125459231,146.5766792783901,17.69889236168229,14553.52,1455.352,1.81891991163538e-05,1.2463145624577203e-05,28318.46511918685,0.0,0.0,0.0,0.2647168731238373,0.0181382639110196,0.282855137034857,0.282855137034857,removeDuplicates,0,False,False,False,False
25,randomSeq_2G_int,10,48,64,5.161,2024-10-28 02:46:27.694700,2024-10-28 02:47:21.746400,1233.002247846296,143.44864740555553,1416.216629629629,157.9552722222222,1324.6094387379628,148.2841890111111,3815.929537037037,274.4074074074074,30.605555555555554,247.728,330.304,1.81891991163538e-05,1.2463145624577203e-05,1472.893627749074,0.0,0.0,0.0,0.004505973918696,0.0041166268523803,0.0086226007710764,0.0086226007710764,removeDuplicates,0,False,False,False,False
26,randomSeq_2G_int,10,48,24,10.052,2024-10-29 21:46:47.840200,2024-10-29 21:48:32.378500,1834.880200538697,211.90951837624525,2191.724022605364,240.16384750957857,2013.3021115720303,215.44130951791192,2658.990641762452,218.03860153256704,23.89214559386973,482.496,241.248,1.81891991163538e-05,1.2463145624577203e-05,2228.7434210899423,0.0,0.0,0.0,0.0087762158168442,0.003006708955638,0.0117829247724822,0.0117829247724822,removeDuplicates,0,False,False,False,False
27,randomSeq_2G_int,10,16,48,7.817,2024-10-28 10:31:01.289100,2024-10-28 10:32:21.858300,1312.400251323085,157.00413021604555,1589.9020576397518,178.9762840993789,1358.6505523758628,162.4971686868789,1421.4554658385105,203.39031055900625,22.89577639751553,125.072,375.216,1.81891991163538e-05,1.2463145624577203e-05,1521.1477210627418,0.0,0.0,0.0,0.0022749595118806,0.0046763716486713,0.0069513311605519,0.0069513311605519,removeDuplicates,0,False,False,False,False
28,randomSeq_2G_int,10,64,72,5.125,2024-10-29 20:42:28.792900,2024-10-29 20:43:22.498000,1255.6376272705993,150.37867038857675,1437.5740168539326,164.78410580524343,1376.9285536594882,155.78070866982674,5181.423146067416,280.50224719101124,32.152996254681646,328.0,369.0,1.81891991163538e-05,1.2463145624577203e-05,1532.709262329315,0.0,0.0,0.0,0.005966057310164,0.0045989007354689,0.010564958045633,0.010564958045633,removeDuplicates,0,False,False,False,False
29,randomSeq_2G_int,10,48,88,5.135,2024-10-29 20:33:40.338400,2024-10-29 20:34:34.127300,1239.8583588519898,143.65356275995026,1422.1497462686566,158.08710634328358,1331.004052560323,150.26893690231137,3889.0800746268656,276.9522388059701,30.786194029850748,246.48,451.88,1.81891991163538e-05,1.2463145624577203e-05,1481.2729894626343,0.0,0.0,0.0,0.0044832737981988,0.0056318462448339,0.0101151200430328,0.0101151200430328,removeDuplicates,0,False,False,False,False
30,randomSeq_2G_int,10,48,32,7.412,2024-10-29 05:20:14.159200,2024-10-29 05:21:34.157200,1448.0769868857142,167.2164689719298,1711.201380952381,188.05024210526312,1579.6391839190476,170.68876449415205,3085.662531328321,230.8690476190476,25.371052631578944,355.776,237.184,1.81891991163538e-05,1.2463145624577203e-05,1750.3279484131997,0.0,0.0,0.0,0.0064712805048198,0.0029560587318197,0.0094273392366396,0.0094273392366396,removeDuplicates,0,False,False,False,False
31,randomSeq_2G_int,10,96,40,5.3,2024-10-29 21:00:53.812300,2024-10-29 21:01:49.817900,1289.741798152828,163.99106516847172,1477.8906498194945,178.88839350180504,1477.890649819495,167.09467523791616,7486.327996389891,278.8472924187725,33.752527075812274,508.8,212.0,1.81891991163538e-05,1.2463145624577203e-05,1644.985325057411,0.0,0.0,0.0,0.0092546645104008,0.0026421868724103,0.0118968513828111,0.0118968513828111,removeDuplicates,0,False,False,False,False
