grid_ci,n_workloads,num_samples,adjusted_deviation_from_shapley (%),baseline_deviation_from_shapley (%),worst_case_baseline_deviation (%),worst_case_adjusted_deviation (%)
33.0,25.0,13.0,0.9627944868018211,8.016116179316533,29.03622610578493,2.8764199980397422
31.0,12.0,8.0,1.088959245952656,8.987090204569002,28.378603785256495,4.375978496709035
33.0,42.0,8.0,1.2573631990793572,7.609610184969711,28.548581074852343,3.839944337289277
7.0,90.0,14.0,0.6031683520007126,10.07242904360535,35.66132349999063,1.2585675133754617
34.0,54.0,4.0,1.2664103881194093,7.260205157226522,37.11828707833657,2.987222961203212
13.0,34.0,4.0,1.064872937113183,8.86594822948192,32.66257320798036,3.5659711682161923
39.0,50.0,1.0,1.7733196542422933,7.4587519042921375,29.1300664548548,4.253898047337722
20.0,55.0,1.0,3.868095151551628,7.657171980728599,36.29661884388503,11.392987774955635
43.0,55.0,12.0,0.5054395130578265,8.429513977048952,33.53161607224192,1.6259611199215436
17.0,93.0,9.0,0.924513574709486,7.664585959142543,76.86639871943929,3.8623036713939842
36.0,87.0,1.0,4.164687954238353,7.099571710731705,41.269664519285705,15.603177391981173
22.0,63.0,10.0,0.8596159702851387,9.106545689848824,39.795252266829856,2.1223179771537564
34.0,46.0,15.0,1.1674787350261122,8.387785377950586,28.99311823132562,2.764467508236122
9.0,53.0,2.0,2.6715380274107714,9.099228224345786,44.03610962671078,11.636852758597417
4.0,83.0,9.0,1.1460340797203983,10.2034663956389,43.653982995293944,2.781916292117812
11.0,94.0,12.0,1.3227474424949888,9.025662476977056,32.995839393816844,3.163118681855407
5.0,89.0,5.0,2.2760656651309956,11.29310382640424,44.82726104168873,5.1351575601360056
43.0,88.0,14.0,0.5706227354185546,6.796980638433204,24.054213164508646,1.580549213174704
17.0,99.0,2.0,2.081642631172928,9.42280629632782,39.86550430127616,5.392606680149169
0.0,75.0,9.0,0.806006883850964,12.358477737310814,78.38447418946369,2.7822212054900652
1.0,49.0,10.0,1.1766697831109452,9.99718475780037,49.18906533448304,2.3286988294647486
37.0,33.0,2.0,1.7321745554165868,7.512447814526402,31.730141415503255,6.869012906796236
37.0,100.0,4.0,0.9387406223967618,7.214495199811609,28.473208278044144,4.0113705846721945
3.0,82.0,14.0,0.8168330003181417,10.341514033064371,36.8854976009522,1.6289054895639297
49.0,52.0,15.0,1.197688026233096,8.8352433650135,24.82778491068241,2.8830440763243743
32.0,55.0,1.0,3.0416076421936493,9.529745555671939,34.12820625141566,6.66244626822737
44.0,28.0,4.0,1.5537462147128,6.671813894955467,29.00706649851164,2.9784542595168224
35.0,64.0,6.0,0.93190040977703,8.277784481899344,25.272047122728335,2.6945300044541702
33.0,21.0,13.0,0.8647012679556761,9.399758893967798,37.03200413844959,2.395337134701991
46.0,57.0,9.0,0.7256295533020806,7.510879942385739,31.007855979819993,2.8756578545391824
45.0,86.0,7.0,0.7407389080745678,7.6033230232023765,34.31143915042804,2.1240374568473346
