,0
208,1.9429048028822798e-05
209,1.930680046057605e-05
210,1.9289324413630966e-05
211,1.9262124040740257e-05
212,1.9673157890912854e-05
213,2.0043945976890375e-05
214,1.931269515895038e-05
215,1.9256708183410345e-05
216,1.8816872544461523e-05
217,1.8620919520761557e-05
218,1.85094213636111e-05
219,1.84588814434713e-05
220,1.8259984479978817e-05
221,1.8289181100510697e-05
222,1.8342972126624386e-05
223,1.8374537410080115e-05
224,1.876225675295093e-05
225,1.8682742996173408e-05
226,1.876602773057588e-05
227,1.881218449670528e-05
228,1.884906465787729e-05
229,1.9071703176854398e-05
230,1.9773105015095163e-05
231,2.15112240219873e-05
232,2.008364638483885e-05
233,1.9430358420254876e-05
234,1.9075103011797568e-05
235,1.916958463328694e-05
236,1.9103864826536685e-05
237,1.902403105213534e-05
238,1.889522323867627e-05
239,1.886177252304692e-05
240,1.860438681463074e-05
241,1.8289940035283488e-05
242,1.829791810565949e-05
243,1.826429623764636e-05
244,1.836582034908185e-05
245,1.846055993479679e-05
246,1.8760402413094634e-05
247,1.846587864838077e-05
248,1.8449776727954523e-05
249,1.8461500606409308e-05
250,1.8472874042845064e-05
251,1.886061902188133e-05
252,1.914948944011231e-05
253,1.8822819071374266e-05
254,1.9068760342274267e-05
255,1.913164875550734e-05
256,1.9195611244856208e-05
257,1.926615664720847e-05
258,1.9848457692693086e-05
259,1.9651292337400878e-05
260,1.9355544304462515e-05
261,1.913338658226857e-05
262,1.8839070560702748e-05
263,1.88173642830559e-05
264,1.879328576844851e-05
265,1.825238320474816e-05
266,1.8284722178663072e-05
267,1.8197879482044973e-05
268,1.818231120888828e-05
269,1.8249636606963604e-05
270,1.841939407003483e-05
271,1.8449518045736384e-05
272,1.8460729448516885e-05
273,1.854012048741692e-05
274,1.8690841813767395e-05
275,1.8667088527128752e-05
276,1.8626394217189343e-05
277,1.874073865488251e-05
278,1.9672719024034415e-05
279,2.0719208161793357e-05
280,2.0659821744199785e-05
281,1.926001808854841e-05
282,1.899474416490565e-05
283,1.8999375813248626e-05
284,1.868602986204626e-05
285,1.8597909017121167e-05
286,1.845596073461031e-05
287,1.8493547521393503e-05
288,1.8297539312786014e-05
289,1.8462165921761397e-05
290,1.8073108667574245e-05
291,1.7943349356478372e-05
292,1.7918780416622354e-05
293,1.7892992487449268e-05
294,1.8102679667041683e-05
295,1.8066929652760165e-05
296,1.82887231323504e-05
297,1.8395277216691974e-05
298,1.8736637095435094e-05
299,1.8764461687856425e-05
300,1.872999509595388e-05
301,1.8774634119494307e-05
302,1.8924079107821744e-05
303,2.0147463606862578e-05
304,2.1168480311311677e-05
305,2.1297004895581305e-05
306,2.0064471716644204e-05
307,2.0147317320870293e-05
308,2.0176730907320065e-05
309,1.988060711370699e-05
310,1.993076778345617e-05
311,1.989088359965606e-05
312,1.9410908874378355e-05
313,1.8078141614502377e-05
314,1.8069085188174297e-05
315,1.8008561753689018e-05
316,1.7995119113912825e-05
317,1.8040369690060838e-05
318,1.8226063244527855e-05
319,1.81600175988669e-05
320,1.8199380609105156e-05
321,1.8318794610132206e-05
322,1.8448628254731e-05
323,1.8412170606082314e-05
324,1.8385343698731498e-05
325,1.8437820505080813e-05
326,1.875753742795106e-05
327,1.923988877535144e-05
328,1.8799317435989516e-05
329,1.8379386191251668e-05
330,1.8373620747843662e-05
331,1.838479683814226e-05
332,1.8552290360738936e-05
333,1.8475787361671147e-05
334,1.831520603551201e-05
335,1.8412515316065348e-05
336,1.9374474950112572e-05
337,1.8207417704419448e-05
338,1.8099782220366748e-05
339,1.8039794947859135e-05
340,1.7983694921287202e-05
341,1.794135170663055e-05
342,1.817141650626505e-05
343,1.810927946895964e-05
344,1.829277514363833e-05
345,1.84096248692735e-05
346,1.841616964386809e-05
347,1.8477303788376622e-05
348,1.8509544240498807e-05
349,1.8653380536702598e-05
350,1.8799076143870747e-05
351,1.9908415437653188e-05
352,1.8878375350624634e-05
353,1.8757911629247233e-05
354,1.8769625460398323e-05
355,1.9035358663237774e-05
356,1.9212863649350974e-05
357,1.890548792656259e-05
358,1.876135687370344e-05
359,1.8693521936273815e-05
360,1.9375035781917353e-05
361,1.8178888703316522e-05
362,1.8198837417682145e-05
363,1.8204932858182747e-05
364,1.8178297630298284e-05
365,1.8123517827357768e-05
366,1.8326398363431194e-05
367,1.837272371123582e-05
368,1.834667997601789e-05
369,1.8401446947951697e-05
370,1.854466971566734e-05
371,1.876745903086146e-05
372,1.8689920416377182e-05
373,1.8648094298371732e-05
374,1.8937894870006697e-05
375,2.068430304854454e-05
376,1.9895667631474473e-05
377,1.9027440578930326e-05
378,1.8920365203500723e-05
379,1.8669852042613893e-05
380,1.8682817328156508e-05
381,1.85552210352646e-05
382,1.8525213531204945e-05
383,1.8525788346820136e-05
384,1.8709200608612858e-05
385,1.819386363801449e-05
386,1.8155589900828497e-05
387,1.808683260014632e-05
388,1.810486833939567e-05
389,1.8220368791659888e-05
390,1.8288809675863945e-05
391,1.8219335164498216e-05
392,1.8314216514470785e-05
393,1.8397814883086783e-05
394,1.8581816707445413e-05
395,1.8737597943307776e-05
396,1.8923318712410624e-05
397,1.8897908224887504e-05
398,1.9320170738139455e-05
399,2.0522834165263408e-05
400,1.9861877747307355e-05
401,1.9088609539424682e-05
402,1.8998919418801025e-05
403,1.8932344922415006e-05
404,1.8914451855744223e-05
405,1.8967299342858545e-05
406,1.875164164752305e-05
407,1.875305459607566e-05
408,1.9180369476821635e-05
409,1.8345198105272127e-05
410,1.8306187977513964e-05
411,1.8174041169733227e-05
412,1.8132561244925455e-05
413,1.816916490376346e-05
414,1.8285131374462692e-05
415,1.835007437124193e-05
416,1.8551106049162415e-05
417,1.854802275082768e-05
418,1.8784698015709305e-05
