,0
448,1.4395905560143782e-05
449,1.4399242948308176e-05
450,1.4382630171667624e-05
451,1.434633916555407e-05
452,1.4305919686674206e-05
453,1.418887377553988e-05
454,1.413991305509855e-05
455,1.4127697154928567e-05
456,1.4099445150415512e-05
457,1.3845774385706147e-05
458,1.3834190579732458e-05
459,1.375275447892211e-05
460,1.373150042628862e-05
461,1.3821819731327705e-05
462,1.3959600777144453e-05
463,1.3811098937131696e-05
464,1.4399579616831462e-05
465,1.4409870495327119e-05
466,1.4610596026329378e-05
467,1.4615545422984228e-05
468,1.4664317127348074e-05
469,1.4669841799497387e-05
470,1.5267019577910363e-05
471,1.5486169130254486e-05
472,1.7218585229628772e-05
473,1.5948415002390448e-05
474,1.5850325331481328e-05
475,1.598653851366132e-05
476,1.5441416122615817e-05
477,1.5598164090884417e-05
478,1.5450645315706856e-05
479,1.526733368221474e-05
480,1.3827627160288353e-05
481,1.3633560871329677e-05
482,1.3648603782658648e-05
483,1.3626103079739734e-05
484,1.3562207735696183e-05
485,1.3591851807632776e-05
486,1.3784262830653172e-05
487,1.395739273395329e-05
488,1.3714889419809068e-05
489,1.3731248420490912e-05
490,1.3786067804556388e-05
491,1.3903402671927016e-05
492,1.4007574915696565e-05
493,1.3762752544125151e-05
494,1.3732880852832401e-05
495,1.3782851488047136e-05
496,1.38598232552838e-05
497,1.3864355818279891e-05
498,1.3860788017688608e-05
499,1.3813708825871664e-05
500,1.3801727568987829e-05
501,1.3808411734177349e-05
502,1.3701398346576048e-05
503,1.3645826991884103e-05
504,1.2748071559395817e-05
505,1.242194533813777e-05
506,1.2346917015760254e-05
507,1.2342533900695052e-05
508,1.2332404479527117e-05
509,1.2326981577870017e-05
510,1.2452511505855272e-05
511,1.2513805066983956e-05
512,1.2489684607605959e-05
513,1.2520641445553066e-05
514,1.2588820138736325e-05
515,1.2683289538030384e-05
516,1.3004025192995625e-05
517,1.2710817111764586e-05
518,1.2697229461109673e-05
519,1.2729588199521184e-05
520,1.273754817142573e-05
521,1.2583376080391014e-05
522,1.2682537285726574e-05
523,1.2717142795763566e-05
524,1.2531924427430278e-05
525,1.2540809128702213e-05
526,1.2489625087225572e-05
527,1.246627120646182e-05
528,1.2547011536717357e-05
529,1.2404782704249882e-05
530,1.2370523387034266e-05
531,1.2365707572572414e-05
532,1.2342484496831866e-05
533,1.2318467361194561e-05
534,1.2439722927826969e-05
535,1.2508224887000413e-05
536,1.2668395894440702e-05
537,1.2705260643107018e-05
538,1.2852827782150873e-05
539,1.2859240241181312e-05
540,1.2852037857994199e-05
541,1.2852657539875728e-05
542,1.3663294506689331e-05
543,1.3688864896416107e-05
544,1.3017257545339694e-05
545,1.2966330695545469e-05
546,1.310382979033369e-05
547,1.3315526381567768e-05
548,1.294718213202971e-05
549,1.2877631965601785e-05
550,1.2853352754279102e-05
551,1.2811804098930102e-05
552,1.3015023998836408e-05
553,1.2544528134023484e-05
554,1.2476413016268655e-05
555,1.2464215656676593e-05
556,1.245076001632222e-05
557,1.2495986768096653e-05
558,1.2622093975597509e-05
559,1.2649437690770743e-05
560,1.3057608923454642e-05
