,Unnamed: 0,Index,CPU Cores,Batch Size,start time,end time,Average Latency (ms),99th Percentile (ms),95th Percentile (ms),Number of Queries,Average CPU Utilization (%),Runtime (s),Average CPU Power (W),Average DRAM Power (W),Total CPU Energy (Joules),Total CPU Idle Energy (Joules),Total CPU Dynamic Energy (Joules),Total DRAM Energy (Joules),Total DRAM Idle Energy (Joules),Total DRAM Dynamic Energy (Joules),Total Energy (Joules),Total Idle Energy (Joules),Total Dynamic Energy (Joules),CPU Energy per Query (Joules),CPU Idle Energy per Query (Joules) Unscaled,CPU Dynamic Energy per Query (Joules),DRAM Energy per Query (Joules),DRAM Idle Energy per Query (Joules) Unscaled,DRAM Dynamic Energy per Query (Joules),Total Energy per Query (Joules),Total Idle Energy per Query (Joules) Unscaled,Total Dynamic Energy per Query (Joules),Throughput (queries/s),CPU-Seconds Per Query,Memory Footprint (GB),Memory Usage per Query (GB-second),CPU Idle Energy per Query (Joules),DRAM Idle Energy per Query (Joules),Total Idle Energy per Query (Joules)
29,29,hnsw,32,256,2024-10-21 00:18:13.464443,2024-10-21 00:59:00.654610,6508.41884574468,7025.6785,6825.052250000001,96256,2951.61752160557,2447.190167,150.1007951704474,10.26591244880562,367325.19,86874.72070396385,280450.4692960362,25122.640000000003,6878.602907906383,18244.03709209362,392447.83,93753.32361187023,298694.5063881298,3.2144355627772896,0.9025382386964328,2.913589483211812,0.2561596291290291,0.071461549492046,0.1895366220505071,3.4705951919063187,0.973999788188479,3.103126105262319,39.33327344069865,0.8135605608377661,179.0,4.550854387186254,0.3008460795654776,0.06662300707852205,0.36746908664399963
30,30,hnsw,32,512,2024-10-21 01:20:55.176271,2024-10-21 02:02:29.143309,13265.714712765955,14606.445939999994,13773.38325,96256,2931.7379254913,2493.967038,150.1270202433205,10.34699721640828,374411.84,88535.28948947511,285876.5505105249,25805.07,7010.084116527699,18794.9858834723,400216.91,95545.3736060028,304671.5363939972,3.276557447574003,0.9197898259794206,2.9699608389141963,0.26315688256257713,0.0728275028728359,0.1952604085300895,3.5397143301365803,0.9926173288522564,3.1652212474442862,38.59553816605013,0.8291113823138297,179.0,4.6378417948179855,0.30659660865980687,0.06789647403248764,0.37449308269229453
31,31,hnsw,32,1024,2024-10-21 02:41:27.872781,2024-10-21 03:18:12.926058,23457.94564893617,24777.497599999988,24231.14885,96256,2909.717750556793,2205.053277,150.32538826044882,10.541241902156544,331475.49,78278.91357195667,253196.5764280433,23244.0,6198.000501879549,17045.99949812045,354719.49,84476.91407383622,270242.57592616376,2.901528711131727,0.8132367184586589,2.630449804978841,0.2371212570231317,0.0643907964374122,0.1770902540945026,3.138649968154859,0.877627514896071,2.8075400590733435,43.65246001264758,0.7330629245345744,179.0,4.1005707341152755,0.27107890615288627,0.06003100292862909,0.3311099090815154
32,32,hnsw,40,8,2024-10-25 16:55:04.306374,2024-10-25 17:16:08.420115,2528.159900000001,2728.47268,2696.2719,4000,3360.546775011892,1264.113741,181.168191256929,11.870166040699656,229017.2,44875.763914189454,184141.4360858105,15005.24,3553.191971765149,11452.04802823485,244022.44,48428.9558859546,195593.4841140454,50.709917762514046,11.218940978547364,46.03535902145264,3.6911648233946,0.8882979929412873,2.8630120070587126,54.40108258590865,12.10723897148865,48.89837102851135,3.1642722250892774,12.64113741,179.0,56.56908990974999,4.674558741061402,0.8281528163358877,5.50271155739729
33,33,hnsw,40,16,2024-10-25 17:20:16.329518,2024-10-25 17:40:43.325515,2453.914328,2654.68363,2614.57085,8000,3342.9177229663514,1226.995997,183.34154353398435,12.057300949776447,224959.34000000003,43558.09204436733,181401.2479556327,14794.259999999998,3448.860798300883,11345.399201699116,239753.60000000003,47006.95284266821,192746.6471573318,24.943806621764885,5.444761505545915,22.675155994454087,1.8200929229310472,0.4311075997876104,1.4181749002123896,26.76389954469593,5.875869105333526,24.09333089466648,6.519988671161085,6.134979985,179.0,27.454035432875,2.268650627310798,0.4019180227186576,2.6705686500294554
34,34,hnsw,40,32,2024-10-25 17:44:46.494754,2024-10-25 18:05:52.056974,2531.056018,2674.86445,2644.61995,16000,3363.083579855888,1265.56222,181.51737336154045,11.891007618732488,229721.53,44927.18460485234,184794.34539514763,15048.81,3557.263380679666,11491.546619320336,244770.34,48484.44798553201,196285.892014468,12.719625352948091,2.8079490378032714,11.549646587196728,0.9254971015791551,0.2223289612924791,0.7182216637075209,13.645122454527247,3.0302779990957505,12.26786825090425,12.642602431668667,3.16390555,179.0,14.15847733625,1.1699787657513632,0.20727543787163416,1.3772542036229973
35,35,hnsw,40,64,2024-10-25 18:10:07.635055,2024-10-25 18:31:24.620640,2553.912126,2709.3117,2670.5836,32000,3358.0677909440483,1276.985585,179.91840526531865,11.975679427892684,229753.21,45332.71158728992,184420.4984127101,15292.77,3589.3723654110827,11703.397634588917,245045.98,48922.083952701,196123.896047299,6.353410257523361,1.41664723710281,5.76314057539719,0.4703043618570403,0.1121678864190963,0.3657311760809036,6.823714619380401,1.5288151235219063,6.128871751478094,25.05901427227153,1.59623198125,179.0,7.14313811609375,0.5902696821261708,0.10457318577613665,0.6948428679023074
36,36,hnsw,40,128,2024-10-25 18:35:41.195301,2024-10-25 18:57:07.658010,2572.866566,2734.79484,2704.69095,64000,3339.636652905437,1286.462709,176.19342435210845,12.070517000893494,226666.27,45669.14743591306,180997.1225640869,15528.27,3616.0108235023495,11912.25917649765,242194.54,49285.15825941541,192909.38174058456,3.125405218683084,0.7135804286861416,2.8280800400638584,0.23880368646602118,0.0565001691172242,0.1861290496327757,3.364208905149105,0.7700805978033658,3.014209089696634,49.74881864220443,0.8040391931249998,179.0,3.5980753892343746,0.29732517861922564,0.052674636833245476,0.3499998154524711
37,37,hnsw,40,256,2024-10-25 19:05:43.005166,2024-10-25 19:38:02.453382,5158.049550531915,5408.3285,5358.57525,96256,3337.965035915457,1939.448216,177.2082116782849,12.102524731704412,343686.15,68849.99145421988,274836.1585457801,23472.22,5451.433369669732,18020.78663033027,367158.37,74301.42482388961,292856.9451761104,3.1532959502268785,0.7152799976543788,2.855262617870887,0.24001737587539412,0.0566347382985967,0.1872172813157649,3.3933133261022728,0.7719147359529756,3.042479899186652,49.63061101910854,0.8059542121010638,179.0,3.6066450991522605,0.29803333235599117,0.05280009455962922,0.35083342691562036
38,38,hnsw,40,512,2024-10-25 19:55:31.984154,2024-10-25 20:28:14.205107,10437.278005319147,10949.48603,10886.99985,96256,3293.30532124617,1962.220953,178.0439758661572,12.13560581115658,349361.62,69658.41868362686,279703.20131637313,23812.74,5515.44335837495,18297.296641625053,373174.36,75173.86204200181,298000.4979579982,3.207358943178097,0.723678718039674,2.9058261439949,0.24350999961155698,0.0572997356879046,0.1900899335275209,3.450868942789654,0.7809784537275787,3.0959160775224213,49.05461836641594,0.8154176167719415,179.0,3.648993835054438,0.3015327991831975,0.053420066084036065,0.3549528652672335
