,Time (s),grid CI (gCO2eq/kWh),grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq),Min CF % Improvement,Min Energy % Improvement,Min Embodied % Improvement
210,756000,140.19,3.894166666666667e-05,1.9289324413630966e-05,1.3147109165066338e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017710571272672773,0.00028473661118242786,0.0001799931384197763,0.00020239271364887458,2.947674963679934e-05,4.735502292178053e-05,5.427204173592973e-05,2.6066710991876123e-05,0.00014762896308992838,0.0002373815882606473,0.00012572109668384658,0.00017632600265699846,37.80016135218457,36.78609235661075,28.919322032949385
211,759600,148.0,4.111111111111111e-05,1.9262124040740257e-05,1.3141365401555073e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018529836517883097,0.0002979120610357568,0.00018695122983913712,0.00021219453626087893,2.9444976653904808e-05,4.7305918924509235e-05,5.422619731749296e-05,2.604539300361542e-05,0.00015585338852492617,0.0002506061421112476,0.00013272503252164416,0.0001861491432572635,37.80098578936333,37.246169494058066,28.77276081970701
212,763200,150.33,4.1758333333333336e-05,1.967315789091285e-05,1.3361945066266098e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001883345269484024,0.00030278421974983953,0.00019005436546027326,0.00021560869966817816,3.0027500617644624e-05,4.823272418508376e-05,5.523981046717345e-05,2.6528965169094184e-05,0.00015830702633075778,0.0002545514955647558,0.0001348145549930998,0.000189079734499084,37.79909431739723,37.23108634350355,28.791302318755523
213,766800,137.16,3.81e-05,2.0043945976890372e-05,1.3735463747938147e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001751247508413045,0.0002815607835932882,0.00017957657550086067,0.00019969076858693542,3.0686569962393184e-05,4.930984810694554e-05,5.6572754820666684e-05,2.717579230878499e-05,0.0001444381808789113,0.0002322509354863427,0.000123003820680194,0.00017251497627815044,37.80215106437888,36.22102722932563,29.077208111699683
214,770400,130.64,3.628888888888888e-05,1.931269515895038e-05,1.3256828392228582e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00016715645341007805,0.0002687526573826771,0.00017171947199479075,0.00019052581627475025,2.958424613375135e-05,4.7541938427181236e-05,5.456272707163136e-05,2.6211464415771204e-05,0.0001375722072763267,0.0002212107189554958,0.00011715674492315939,0.00016431435185897906,37.8028648951873,36.105014303066305,29.1073739957628
215,774000,125.32,3.4811111111111105e-05,1.9256708183410345e-05,1.326224725598567e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00016150195280517432,0.0002596671242581488,0.00016689553138174605,0.00018381143418556855,2.9532043008257113e-05,4.746468014070594e-05,5.45097133032836e-05,2.6188389367999208e-05,0.0001319699097969172,0.00021220244411744284,0.00011238581807846245,0.00015762304481756933,37.80423560873393,35.7271230008207,29.212666135266357
216,777600,128.16,3.56e-05,1.8816872544461523e-05,1.3010110106238042e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001638569875763562,0.00026346206653659124,0.00016831916448293544,0.00018684660020981377,2.8896377621257983e-05,4.645069374620278e-05,5.338646064527383e-05,2.5651504264875315e-05,0.00013496060995509823,0.00021701137279038843,0.00011493270383766159,0.00016119509594493845,37.80623156480148,36.11256197310734,29.080264697664415
217,781200,155.22,4.311666666666667e-05,1.862091952076156e-05,1.278308873350045e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00019181084386408047,0.00030867219870149305,0.00019181084386408047,0.00022050412663151322,5.2610982053204734e-05,4.58405407386022e-05,5.2610982053204734e-05,2.527392381805075e-05,0.00013919986181087574,0.00026283165796289087,0.00013919986181087574,0.00019523020281346246,37.85937163405683,37.85937163405683,28.5636582889165
218,784800,199.22,5.5338888888888884e-05,1.85094213636111e-05,1.2723545701400829e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00023099538215900616,0.00038292572303914705,0.00023099538215900616,0.0002757149410653394,5.233672689574976e-05,4.558953634047993e-05,5.233672689574976e-05,2.514310106728508e-05,0.0001786586552632564,0.00033733618669866714,0.0001786586552632564,0.0002505718399980543,39.67619090050235,39.67619090050235,27.997801015537245
219,788400,200.8,5.5777777777777775e-05,1.84588814434713e-05,1.2717603083114456e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0002323384726032769,0.00038551640721746984,0.0002323384726032769,0.00027766830582427634,5.226288793877588e-05,4.550483062329072e-05,5.226288793877588e-05,2.5109197945502593e-05,0.000180075584664501,0.0003400115765941791,0.000180075584664501,0.00025255910787877375,39.733181713271485,39.733181713271485,27.974970552253666
220,792000,189.02,5.250555555555555e-05,1.8259984479978817e-05,1.2513458008654744e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00022105019032038072,0.0003649865000587534,0.00022105019032038072,0.00026250030610535215,5.153880081199439e-05,4.4921817748834345e-05,5.153880081199439e-05,2.4757663818271426e-05,0.00016951138950838633,0.000320064682309919,0.00016951138950838633,0.00023774264228708074,39.436063995573164,39.436063995573164,28.079447852702387
221,795600,186.05,5.168055555555555e-05,1.8289181100510697e-05,1.2501920935111634e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00021839347652409494,0.00035998570209210413,0.00021839347652409494,0.0002587662677068983,5.1545555573744306e-05,4.495007547185001e-05,5.1545555573744306e-05,2.4759185929777533e-05,0.00016684792095035065,0.00031503562662025413,0.00016684792095035065,0.0002340070817771208,39.33273592399015,39.33273592399015,28.11762628264283
222,799200,174.79,4.855277777777777e-05,1.8342972126624386e-05,1.253109667903656e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00020842900277881108,0.0003410410314737498,0.00020842900277881108,0.00024466749644828304,5.16789457892288e-05,4.50717910708785e-05,5.16789457892288e-05,2.482284273249191e-05,0.00015675005698958229,0.0002959692404028713,0.00015675005698958229,0.00021984465371579113,38.88447912612708,38.88447912612708,28.25863345797578
223,802800,163.45,4.5402777777777774e-05,1.8374537410080115e-05,1.2559681340703898e-05,"['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00019836516377676704,0.00032192644049231303,0.00019836516377676704,0.0002304556347540343,5.178471400877557e-05,4.515904908634399e-05,5.178471400877557e-05,2.487403025809021e-05,0.00014658044976799146,0.000276767391405969,0.00014658044976799146,0.00020558160449594406,38.38183546731583,38.38183546731583,28.41357348541953
224,806400,144.91,4.025277777777778e-05,1.876225675295093e-05,1.2974187937652531e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018141333657801606,0.00029169230404446763,0.0001831898676779785,0.00020784192170780687,2.881391407026573e-05,4.631841179216437e-05,5.32359186056038e-05,2.5579270698279483e-05,0.00015259942250775034,0.0002453738922523033,0.0001299539490723747,0.0001822626510095274,37.80660851773445,37.19756567521515,28.746175738622853
225,810000,139.35,3.870833333333333e-05,1.8682742996173408e-05,1.292037057630633e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.0001754370845548561,0.0002820829566490876,0.00017798089735428046,0.00020074175505361506,2.8692694751150302e-05,4.612372757339606e-05,5.301310490907024e-05,2.547227456104972e-05,0.0001467443898037058,0.00023595922907569154,0.00012496779244521023,0.00017526948049256534,37.80656348795273,36.90476749515588,28.835914995269047
226,813600,143.84,3.995555555555555e-05,1.876602773057588e-05,1.299388402371303e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018030542863465025,0.0002899134008722828,0.00018228198315746187,0.0002065218744362273,2.8832784003397696e-05,4.635132329605406e-05,5.3287600198588265e-05,2.5605031421870666e-05,0.00015147264463125256,0.0002435620775762287,0.0001289943829588736,0.00018091684301435663,37.807142376946814,37.12536826203367,28.764288296142766
