,Time (s),grid CI (gCO2eq/kWh),grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq),Min CF % Improvement,Min Energy % Improvement,Min Embodied % Improvement
227,817200,143.29,3.980277777777777e-05,1.881218449670528e-05,1.3015385699188454e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00017978915657222824,0.0002890816553238817,0.00018189473345021543,0.00020588046287262895,2.8895696830764257e-05,4.645088435685017e-05,5.33935854094966e-05,2.565539032307971e-05,0.00015089345974146398,0.0002426307709670315,0.00012850114804071884,0.00018022507254954924,37.80679152027277,37.078424002234264,28.78120798015899
228,820800,149.4,4.15e-05,1.884906465787729e-05,1.2969541875831052e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018622540703321005,0.000299420129196893,0.00018730766360085458,0.00021352959415085992,2.8897729697912985e-05,4.644338844405257e-05,5.3327124014816496e-05,2.561958061954123e-05,0.00015732767733529708,0.00025297674075284044,0.00013398053958603808,0.0001879100135313187,37.80464675748244,37.44319591897423,28.685624869780575
229,824400,148.52,4.1255555555555556e-05,1.90717031768544e-05,1.3106802277772254e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018562784797302063,0.0002984566077560395,0.0001871101622725424,0.00021270614756080999,2.9226866461385263e-05,4.696995757791454e-05,5.3918798555551946e-05,2.590296677318307e-05,0.00015640098151163537,0.000251486650178125,0.00013319136371699048,0.0001868031807876269,37.804074981394244,37.3074150780781,28.731298944911465
230,828000,118.95,3.3041666666666666e-05,1.9773105015095163e-05,1.3658402952468644e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00015561688750124716,0.0002502096854369907,0.00016274188182228129,0.00017655063441633485,3.0354991791517675e-05,4.8793465138795405e-05,5.606862088681118e-05,2.6939549345716622e-05,0.0001252618957097295,0.00020141622029819526,0.00010667326093547009,0.0001496110850706182,37.8054101984651,34.95780087886968,29.438928749704658
231,831600,114.07,3.168611111111111e-05,2.15112240219873e-05,1.472556142918958e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00015304409542480518,0.000246051227573284,0.0001629740901105054,0.00017261977929577054,3.29211492826543e-05,5.289823682578394e-05,6.067716808520847e-05,2.914658489471615e-05,0.00012012294614215086,0.00019315299074750008,0.00010229692202529696,0.0001434731944010544,37.79990576181033,33.76416296806927,29.843967454152455
232,835200,117.72,3.2699999999999995e-05,2.008364638483885e-05,1.377226121645953e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00015472131888869887,0.0002487542429301437,0.00016227801888466764,0.00017530522748479717,3.075469120522383e-05,4.942076286706219e-05,5.670781058434365e-05,2.7241192726384604e-05,0.00012396662768347503,0.0001993334800630815,0.00010557020830032398,0.00014806403475841256,37.80153573816691,34.763718209124455,29.52673875234072
233,838800,143.66,3.990555555555555e-05,1.943035842025488e-05,1.3397545207181812e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018109346467532617,0.0002911716757601098,0.00018387188423102778,0.00020713394116272224,2.9810371462549882e-05,4.7914389437800214e-05,5.503892360900482e-05,2.6443495755029863e-05,0.00015128309321277628,0.00024325728632230962,0.00012883296062202296,0.0001806904454076924,37.8052606928274,36.851040283699874,28.86191947688775
234,842400,153.89,4.2747222222222214e-05,1.9075103011797568e-05,1.3105420679945317e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00019128516312171174,0.00030755278464390497,0.00019192662373011216,0.00021946047403739125,2.9229230958867944e-05,4.697319539052738e-05,5.3919493630410714e-05,2.590309798428125e-05,0.0001620559321628438,0.0002605795892533776,0.00013800713009970146,0.00019355737605311,37.80411926909126,37.59554999564341,28.642989107872975
235,846000,151.04,4.195555555555555e-05,1.916958463328694e-05,1.3157227019862711e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018841867754968876,0.0003029414853447377,0.00018960640820112908,0.00021598833190244598,2.9363976179385742e-05,4.718775761174554e-05,5.415513176822952e-05,2.601558462151976e-05,0.00015905470137030303,0.00025575372773299214,0.00013545127643289955,0.00018997274728092622,37.80360674759538,37.41154071870907,28.702953424600075
236,849600,145.07,4.0297222222222215e-05,1.9103864826536685e-05,1.3140836623410044e-05,"['ivf', np.int64(96), np.int64(128)]","['ivf', np.int64(80), np.int64(16)]","['hnsw', np.int64(88), np.int64(128)]","['ivf', np.int64(32), np.int64(32)]",0.00018205319789149128,0.00029271046302851436,0.00018413577503735413,0.0002084249388794078,2.9285285233984298e-05,4.706564521717186e-05,5.403833944333443e-05,2.596104555284553e-05,0.000152767912657507,0.00024564481781134246,0.0001300974355940197,0.00018246389332656228,37.80434221315943,37.09286195915157,28.794845007264357
