,index,cpu,batch size,start time,end time,avg latency (ms),99th percentile (ms),95th percentile (ms),num queries
45,hnsw,64,256,2024-10-20 08:05:45.280827,2024-10-20 08:28:36.104514,3645.737805851064,3887.38925,3815.94425,96256
46,hnsw,64,512,2024-10-20 08:40:46.476460,2024-10-20 09:03:24.652361,7224.273329787234,7550.84381,7496.677000000001,96256
47,hnsw,64,1024,2024-10-20 09:24:31.988532,2024-10-20 09:44:25.634712,12698.296765957448,13228.64422,13072.60515,96256
160,hnsw,72,8,2024-10-25 03:38:29.111781,2024-10-25 03:52:31.982556,1685.6684160000002,1823.5730199999998,1787.1979499999998,4000
161,hnsw,72,16,2024-10-25 03:55:20.324590,2024-10-25 04:09:38.502345,1716.283338,1889.5608,1829.0718000000002,8000
162,hnsw,72,32,2024-10-25 04:12:27.743949,2024-10-25 04:26:14.474941,1653.3973259999998,1826.53,1768.50075,16000
163,hnsw,72,64,2024-10-25 04:29:00.941678,2024-10-25 04:43:06.806423,1691.663164,1849.1267599999999,1804.58165,32000
164,hnsw,72,128,2024-10-25 04:46:01.237126,2024-10-25 05:00:47.641284,1772.741696,1908.1256,1875.86425,64000
165,hnsw,72,256,2024-10-25 05:06:33.847424,2024-10-25 05:28:12.238554,3453.102776595745,3679.12925,3621.322,96256
166,hnsw,72,512,2024-10-25 05:39:57.292084,2024-10-25 06:01:43.578166,6948.262877659572,7368.08504,7258.51175,96256
167,hnsw,72,1024,2024-10-25 06:22:03.665171,2024-10-25 06:40:49.773656,11979.811670212765,12357.68243,12330.88625,96256
8,hnsw,80,8,2024-10-20 00:44:30.065430,2024-10-20 00:59:21.880696,1783.5538499999998,1851.1970199999998,1839.6265999999998,4000
9,hnsw,80,16,2024-10-20 01:02:22.511759,2024-10-20 01:17:25.017305,1804.9369199999999,1881.7910000000002,1857.5357999999999,8000
10,hnsw,80,32,2024-10-20 01:20:24.379866,2024-10-20 01:35:20.920499,1793.0101499999998,1893.8159699999999,1852.3319,16000
11,hnsw,80,64,2024-10-20 01:38:20.987672,2024-10-20 01:53:16.952369,1791.868126,1873.62692,1853.54415,32000
12,hnsw,80,128,2024-10-20 01:56:18.881172,2024-10-20 02:11:14.471484,1791.107482,1876.1447899999998,1849.0008500000001,64000
13,hnsw,80,256,2024-10-20 02:17:14.772492,2024-10-20 02:39:39.200465,3575.5329308510636,3708.97325,3670.43275,96256
14,hnsw,80,512,2024-10-20 02:51:40.291434,2024-10-20 03:14:11.504996,7187.231191489362,7372.77775,7343.109600000001,96256
15,hnsw,80,1024,2024-10-20 03:35:16.378365,2024-10-20 03:55:00.998480,12602.268808510638,12835.68032,12800.236499999999,96256
72,hnsw,88,8,2024-10-24 22:16:32.735555,2024-10-24 22:30:05.756396,1625.9659,1760.6806199999999,1722.4675499999998,4000
73,hnsw,88,16,2024-10-24 22:32:53.401510,2024-10-24 22:46:58.009203,1689.1440159999997,1826.50053,1790.0738000000001,8000
74,hnsw,88,32,2024-10-24 22:49:51.317541,2024-10-24 23:04:06.472114,1710.237948,1840.2423299999998,1811.25825,16000
75,hnsw,88,64,2024-10-24 23:07:01.055040,2024-10-24 23:20:55.741076,1669.302288,1949.8292299999996,1876.4594499999996,32000
76,hnsw,88,128,2024-10-24 23:23:41.576477,2024-10-24 23:37:59.040829,1714.857398,1840.9363899999998,1811.54325,64000
77,hnsw,88,256,2024-10-24 23:44:05.164677,2024-10-25 00:05:05.545179,3352.0051276595746,3626.86075,3572.1155,96256
78,hnsw,88,512,2024-10-25 00:16:14.779524,2024-10-25 00:37:29.731736,6781.590925531915,7179.60327,7070.67775,96256
79,hnsw,88,1024,2024-10-25 00:57:12.731716,2024-10-25 01:16:16.509847,12167.781776595744,12895.820589999998,12771.632249999999,96256
24,hnsw,96,8,2024-10-28 05:34:22.102191,2024-10-28 05:48:22.175582,1680.072126,1823.86583,1795.6858,4000
25,hnsw,96,16,2024-10-28 05:51:17.748642,2024-10-28 06:05:43.071678,1730.578884,1841.77554,1813.2306999999998,8000
26,hnsw,96,32,2024-10-28 06:08:33.532724,2024-10-28 06:22:59.429178,1731.7228799999998,1835.84419,1805.50045,16000
27,hnsw,96,64,2024-10-28 06:25:52.912579,2024-10-28 06:40:20.539258,1735.180026,1843.75813,1811.2178500000002,32000
28,hnsw,96,128,2024-10-28 06:43:20.659282,2024-10-28 06:58:12.063425,1782.7336879999998,1889.07795,1854.3927,64000
29,hnsw,96,256,2024-10-28 07:04:07.868273,2024-10-28 07:25:44.397882,3448.146526595745,3777.19125,3703.58175,96256
30,hnsw,96,512,2024-10-28 07:37:08.603335,2024-10-28 07:59:31.038174,7140.546707446808,7392.23491,7342.5490500000005,96256
31,hnsw,96,1024,2024-10-28 08:20:31.630911,2024-10-28 08:40:07.895930,12513.3914893617,12996.349110000001,12885.531449999999,96256
136,ivf,8,8,2024-10-26 11:08:46.662106,2024-10-26 11:13:01.252700,509.12786199999994,664.4810200000001,603.5902,4000
137,ivf,8,16,2024-10-26 11:14:16.698577,2024-10-26 11:21:12.680279,831.9029199999999,1109.3493299999998,937.0523,8000
138,ivf,8,32,2024-10-26 11:23:56.061345,2024-10-26 11:38:26.372503,1740.5565279999998,2203.983989999999,1923.5683,16000
139,ivf,8,64,2024-10-26 11:45:45.282721,2024-10-26 12:25:54.380446,4818.123346,5197.09777,5066.61485,32000
140,ivf,8,128,2024-10-26 12:42:59.793229,2024-10-26 14:11:13.190950,10586.723811999998,11065.052699999998,10922.4674,64000
141,ivf,8,256,2024-10-26 14:47:31.381504,2024-10-26 17:04:56.126169,21927.44177393617,22638.682500000003,22469.24975,96256
142,ivf,8,512,2024-10-26 18:18:56.199983,2024-10-26 20:48:38.596167,47778.63111702128,54067.518149999996,53170.427449999996,96256
143,ivf,8,1024,2024-10-26 23:20:47.260255,2024-10-27 01:42:44.990725,30614.07826595745,32111.13982,31820.284949999997,96256
80,ivf,16,8,2024-10-21 03:23:05.923883,2024-10-21 03:26:49.401267,446.90148999999997,619.2666999999999,548.6740499999999,4000
81,ivf,16,16,2024-10-21 03:27:34.615029,2024-10-21 03:31:46.604311,503.924048,761.3163499999999,576.9472,8000
82,ivf,16,32,2024-10-21 03:33:12.580923,2024-10-21 03:40:50.265787,915.308798,1037.6408299999994,998.8082999999999,16000
83,ivf,16,64,2024-10-21 03:44:41.885244,2024-10-21 04:05:19.966625,2476.09451,2666.29395,2607.07195,32000
84,ivf,16,128,2024-10-21 04:14:27.507669,2024-10-21 05:01:43.880868,5672.678864,5968.427970000001,5876.83925,64000
