,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
11,110,3.0555555555555554e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.0001283038755403178,0.00025214063425434233,0.000131432620169406,0.00016301360667628667,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,8.68829179078021e-05,0.00020205674470563884,8.590355123740576e-05,0.00013835409296147964
12,120,3.3333333333333335e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00013620232262284528,0.0002705094292275823,0.00013924203391826108,0.00017559125149096662,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,9.478136499032957e-05,0.00022042553967887877,9.371296498626083e-05,0.00015093173777615962
13,130,3.611111111111111e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00014410076970537274,0.0002888782242008222,0.00014705144766711614,0.00018816889630564657,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00010267981207285702,0.00023879433465211864,0.0001015223787351159,0.00016350938259083957
14,140,3.888888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.0001519992167879002,0.0003072470191740621,0.0001548608614159712,0.00020074654112032657,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.0001105782591553845,0.00025716312962535855,0.00010933179248397097,0.00017608702740551957
15,150,4.1666666666666665e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00015989766387042767,0.00032561581414730195,0.00016267027516482627,0.00021332418593500652,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00011847670623791195,0.0002755319245985984,0.00011714120623282603,0.00018866467222019952
16,160,4.4444444444444447e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00016779611095295513,0.0003439846091205419,0.00017047968891368136,0.00022590183074968652,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00012637515332043943,0.00029390071957183835,0.00012495061998168112,0.0002012423170348795
17,170,4.722222222222222e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.0001756945580354826,0.00036235340409378176,0.0001782891026625364,0.00023847947556436647,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00013427360040296687,0.0003122695145450782,0.00013276003373053616,0.00021381996184955944
18,180,5e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00018359300511801006,0.00038072219906702166,0.00018609851641139148,0.00025105712037904647,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00014217204748549436,0.0003306383095183181,0.00014056944747939124,0.00022639760666423944
19,190,5.277777777777778e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.00019149145220053753,0.00039909099404026156,0.00019390793016024654,0.0002636347651937264,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.0001500704945680218,0.000349007104491558,0.0001483788612282463,0.0002389752514789194
20,200,5.555555555555556e-05,1.8189199116353798e-05,1.2463145624577203e-05,"['hnsw', np.int64(72), np.int64(1024)]","['ivf', np.int64(96), np.int64(16)]","['hnsw', np.int64(88), np.int64(1024)]","['ivf', np.int64(32), np.int64(32)]",0.000199389899283065,0.00041745978901350147,0.00020171734390910163,0.0002762124100084064,4.142095763251571e-05,5.008388954870352e-05,4.5529068932000235e-05,2.4659513714807017e-05,0.00015796894165054929,0.0003673758994647979,0.0001561882749771014,0.0002515528962935994
