,Unnamed: 0,memory,threads,read_file runtime,total sum column runtime,total count distinct runtime,total aggregate runtime,avg sum column runtime,avg count distinct runtime,avg aggregate runtime,rounds,start,end,total_runtime,Average CPU Dynamic Energy per Round,Average DRAM Dynamic Energy per Round,Average CPU Energy per Round Unscaled,Average DRAM Energy per Round Unscaled,Average CPU Energy per Round,Average DRAM Energy per Round,Average CPU Power,Average DRAM Power,CPU-seconds,Memory-seconds,Max Memory Usage (GiB),CPU Embodied CI (gCO2eq/CPU-s),Memory Embodied CI (gCO2eq/GiB-s),CPU Operational Carbon,Memory Operational Carbon,Total Operational Carbon,CPU Embodied Carbon,Memory Embodied Carbon,Total Embodied Carbon,Total Carbon Footprint,workload,Grid CI (gCO2eq/kWh)
10,10,2,48,4.4187,182.5429,119.3357,448.1855,60.84763333333333,59.66785,74.69758333333333,3,1730035025.3671515,1730035551.751394,750.0641,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,197881.31308795448,22120.71395152941,263.8192030360531,29.49176470588236,36003.0768,1500.1282,3.237,1.8189199116353798e-05,1.2463145624577203e-05,8.245054711998103,0.9216964146470588,9.166751126645162,0.6548671327165779,0.018696316212134877,0.6735634489287128,9.840314575573874,spark,150
11,11,2,64,4.7101,180.5094,119.0697,444.8257,60.1698,59.53485,74.13761666666666,3,1730023108.1182818,1730023630.327042,744.4048,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,195461.4628923525,22314.860118436784,262.5741570881226,29.97678160919541,47641.9072,1488.8096,3.668,1.8189199116353798e-05,1.2463145624577203e-05,8.144227620514688,0.9297858382681993,9.074013458782886,0.8665681363436497,0.018555250852068536,0.8851233871957183,9.959136845978605,spark,150
12,12,2,80,4.6305,187.3297,122.5162,469.8853,62.44323333333333,61.2581,78.31421666666667,3,1730012394.012101,1730012937.324853,779.7312000000001,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,196825.3928624089,23192.551695911603,252.4272375690608,29.74429097605893,62378.49600000001,1559.4624,3.685,1.8189199116353798e-05,1.2463145624577203e-05,8.201058035933704,0.9663563206629834,9.167414356596687,1.134614884322679,0.019435806987252665,1.1540506913099318,10.321465047906619,spark,150
13,13,2,92,4.7916,197.1014,127.8493,491.0029,65.70046666666667,63.92465,81.83381666666666,3,1730001516.1087856,1730002085.8808925,815.9535999999999,199780.2839302176,23883.634675845617,199780.2839302176,23883.634675845617,199780.2839302176,23883.634675845617,244.842701754386,29.270824561403515,75067.7312,1631.9072,3.834,1.8189199116353798e-05,1.2463145624577203e-05,8.3241784970924,0.9951514448269007,9.319329941919301,1.3654219100097242,0.020338697079396038,1.3857606070891202,10.705090549008421,spark,150
14,14,3,8,4.7159,506.8887,331.0051,1161.5472,168.9629,165.50255,193.5912,3,1730115696.3470454,1730117114.5286047,1999.441,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,374548.7117295346,45724.40968439351,187.3267136812412,22.86859661495064,15995.528,5998.323,4.062,1.8189199116353798e-05,1.2463145624577203e-05,15.606196322063942,1.9051837368497295,17.511380058913673,0.2909458437632124,0.0747579730522508,0.3657038168154632,17.877083875729138,spark,150
15,15,3,16,4.4121,275.1517,181.4391,643.5431000000001,91.71723333333334,90.71955,107.25718333333334,3,1730081655.7972536,1730082433.6636393,1100.1339,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,277922.16077927506,29063.034762674808,252.6257583547558,26.417724935732647,17602.1424,3300.4017000000003,4.218,1.8189199116353798e-05,1.2463145624577203e-05,11.580090032469794,1.210959781778117,12.791049814247911,0.3201688729880137,0.04113338700670217,0.3613022599947159,13.152352074242627,spark,150
16,16,3,24,4.7919,200.72860000000003,133.16809999999998,476.3914,66.90953333333334,66.58404999999999,79.39856666666667,3,1730062274.914371,1730062845.1179583,810.2881,242554.312383172,23529.600746382457,242554.312383172,23529.600746382457,242554.312383172,23529.600746382457,299.34329824561405,29.038561403508773,19446.9144,2430.8643,4.344,1.8189199116353798e-05,1.2463145624577203e-05,10.106429682632166,0.980400031099269,11.086829713731435,0.353723798220288,0.030296215764485927,0.3840200139847739,11.470849727716208,spark,150
17,17,3,32,4.4487,175.728,115.1104,420.2894,58.576,57.5552,70.04823333333333,3,1730047269.931237,1730047770.1052375,711.1278,218362.998364128,21628.326244536,218362.998364128,21628.326244536,218362.998364128,21628.326244536,307.06576,30.41412,22756.0896,2133.3834,4.292,1.8189199116353798e-05,1.2463145624577203e-05,9.098458265171999,0.901180260189,9.999638525360998,0.41391504484398783,0.02658866798725564,0.44050371283124345,10.44014223819224,spark,150
18,18,3,48,4.5059,159.6703,103.5968,383.4788,53.22343333333333,51.7984,63.91313333333333,3,1730034023.5742412,1730034478.7436802,646.7459,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,189341.81296665053,20340.684480237363,292.7607472527472,31.45081318681319,31043.8032,1940.2377,4.637,1.8189199116353798e-05,1.2463145624577203e-05,7.889242206943772,0.8475285200098901,8.736770726953662,0.5646619177337012,0.024181465001394734,0.588843382735096,9.325614109688757,spark,150
19,19,3,64,4.831,155.50979999999998,100.049,374.6515,51.8366,50.0245,62.44191666666666,3,1730022133.6960714,1730022575.7861428,630.2103,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,182112.48349151813,20138.313103893663,288.9709728506788,31.95490950226244,40333.4592,1890.6309,4.665,1.8189199116353798e-05,1.2463145624577203e-05,7.588020145479922,0.8390963793289026,8.427116524808824,0.733633320440132,0.02356320822902546,0.7571965286691574,9.18431305347798,spark,150
