,Grid CI (gCO2eq/kWh),Grid CI (gCO2eq/J),cpu CI (gCO2eq/core-second),mem CI (gCO2eq/GB-second),Min CF Config,Min Runtime Config,Min Energy Config,Min Embodied CF Config,Min CF CF (gCO2eq),Min Runtime CF (gCO2eq),Min Energy CF (gCO2eq),Min Embodied CF (gCO2eq),Min CF Embodied CF (gCO2eq),Min Runtime Embodied CF (gCO2eq),Min Energy Embodied CF (gCO2eq),Min Embodied Embodied CF (gCO2eq),Min CF Operational CF (gCO2eq),Min Runtime Operational CF (gCO2eq),Min Energy Operational CF (gCO2eq),Min Embodied Operational CF (gCO2eq)
11,110,3.0555555555555554e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",5.690928107914612,5.832601708954561,5.832601708954561,12.860672256330748,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,5.025137814160615,4.9566204722607825,4.9566204722607825,12.524170628407674
12,120,3.3333333333333335e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",6.147758818292851,6.283203570069179,6.283203570069179,13.999233222549629,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,5.481968524538854,5.4072223333754,5.4072223333754,13.662731594626555
13,130,3.611111111111111e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",6.604589528671088,6.733805431183795,6.733805431183795,15.137794188768508,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,5.9387992349170915,5.857824194490016,5.857824194490016,14.801292560845434
14,140,3.888888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",7.061420239049326,7.1844072922984115,7.1844072922984115,16.276355154987385,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,6.39562994529533,6.308426055604633,6.308426055604633,15.939853527064315
15,150,4.1666666666666665e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",7.518250949427563,7.635009153413028,7.635009153413028,17.414916121206264,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,6.852460655673567,6.7590279167192495,6.7590279167192495,17.078414493283194
16,160,4.4444444444444447e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",7.975081659805801,8.085611014527645,8.085611014527645,18.553477087425144,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,7.309291366051805,7.209629777833866,7.209629777833866,18.216975459502073
17,170,4.722222222222222e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",8.431912370184039,8.53621287564226,8.53621287564226,19.692038053644023,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,7.766122076430043,7.660231638948482,7.660231638948482,19.355536425720953
18,180,5e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",8.888743080562277,8.986814736756878,8.986814736756878,20.830599019862905,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,8.22295278680828,8.1108335000631,8.1108335000631,20.494097391939835
19,190,5.277777777777778e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",9.345573790940515,9.437416597871495,9.437416597871495,21.96915998608178,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,8.679783497186518,8.561435361177717,8.561435361177717,21.63265835815871
20,200,5.555555555555556e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",9.802404501318753,9.888018458986112,9.888018458986112,23.107720952300664,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,9.136614207564756,9.012037222292333,9.012037222292333,22.771219324377594
21,210,5.833333333333333e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[24.0, 64.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",10.259235211696991,10.338620320100727,10.338620320100727,24.246281918519543,0.6657902937539968,0.8759812366937787,0.8759812366937787,0.3365016279230731,9.593444917942994,9.462639083406948,9.462639083406948,23.909780290596473
22,220,6.111111111111111e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",10.715981630096174,10.789222181215344,10.789222181215344,25.38484288473842,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,9.966434365838658,9.913240944521565,9.913240944521565,25.04834125681535
23,230,6.38888888888889e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",11.169001373997933,11.239824042329962,11.239824042329962,26.523403850957305,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,10.419454109740418,10.363842805636184,10.363842805636184,26.186902223034235
24,240,6.666666666666667e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",11.622021117899688,11.690425903444579,11.690425903444579,27.66196481717618,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,10.872473853642173,10.8144446667508,10.8144446667508,27.32546318925311
25,250,6.944444444444444e-05,1.8189199116353798e-05,1.2463145624577203e-05,"[64.0, 48.0]","[64.0, 64.0]","[64.0, 64.0]","[2.0, 8.0]",12.075040861801446,12.141027764559194,12.141027764559194,28.80052578339506,0.7495472642575153,0.8759812366937787,0.8759812366937787,0.3365016279230731,11.32549359754393,11.265046527865415,11.265046527865415,28.46402415547199
